candidate_id,rank,score,reasoning
CAND_0008425,1,0.7629,"Senior NLP Engineer with 7.8y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, deployed to production; JD-aligned skills: python, retrieval, pgvector, lora; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0046064,2,0.7604,"Senior NLP Engineer with 8.9y of experience; hands-on embeddings and vector databases evidence (career history mentions ""embedding""); built production systems, owned architecture, deployed to production; JD-aligned skills: python, retrieval, pinecone, lora; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0081846,3,0.7574,"Lead AI Engineer with 6.7y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, on-call/monitoring ownership; JD-aligned skills: python, retrieval, vector search, fine-tuning; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0077337,4,0.7564,"Staff Machine Learning Engineer with 7.0y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, on-call/monitoring ownership; JD-aligned skills: python, retrieval, pgvector, lora; Tier-1/2 institute background; AI/product company background"
CAND_0033861,5,0.7281,"Senior NLP Engineer with 8.0y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, deployed to production; JD-aligned skills: retrieval, vector search, lora, ranking; Tier-1/2 institute background; AI/product company background; concern: low recruiter response rate (0.16)"
CAND_0002025,6,0.7266,"Senior AI Engineer with 5.9y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, deployed to production, currently hands-on IC; JD-aligned skills: python, retrieval, pinecone, fine-tuning llms; Tier-1/2 institute background; AI/product company background"
CAND_0079387,7,0.6969,"6.9y experience, currently AI Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, on-call/monitoring ownership, currently hands-on IC; JD-aligned skills: python, retrieval, vector search, lora; Tier-1/2 institute background; AI/product company background; concern: little production ownership or deployment evidence"
CAND_0055905,8,0.6871,"Currently Senior Machine Learning Engineer (8.1y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, deployed to production; JD-aligned skills: python, retrieval, vector search, fine-tuning llms; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0005538,9,0.6848,"Currently Senior AI Engineer (5.9y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: python, retrieval, pgvector, lora; AI/product company background; concern: little production ownership or deployment evidence"
CAND_0017960,10,0.6833,"7.7y experience, currently Recommendation Systems Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""search engine""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: python, retrieval, qdrant, lora; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0071974,11,0.683,"Currently Senior AI Engineer (7.8y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, deployed to production; JD-aligned skills: retrieval, pinecone, lora, ranking; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0083307,12,0.6827,"Search Engineer with 7.8y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: python, semantic search, vector search, lora; Tier-1/2 institute background; AI/product company background; risk flag: long notice period; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0005649,13,0.6736,"Senior Data Scientist with 7.4y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, on-call/monitoring ownership; JD-aligned skills: retrieval, faiss, fine-tuning llms, recommendation systems; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0064326,14,0.6722,"Currently Search Engineer (7.6y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""search engine""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: python, semantic search, milvus, lora; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
